Giocatore,Ruolo,Squadra,Gol/90,Assist/90,Gol+Assist/90,Gol/90 attesi,Assist/90 attesi,Gol+Assist/90 attesi,Occasioni create,Passaggi chiave,Pressioni,Progressioni palla (Carry/90),Progressioni palla (Pass/90),Progressioni palla (Ricezione/90),xG senza rigori,Gol senza rigori/90,Percentuale rigori,Differenza Gol fatti - attesi,Differenza Assist fatti - attesi,Cartellini/90,Espulsioni/90,Ammonizioni/90,Indice Sintetico,Punteggio (0-100),Percentile nel Ruolo,Tier
Tengstedt,A,,0.36,0.06,0.42,0.31,0.05,0.37,0.8,0.53,60.68,1.72,1.72,5.04,0.94,0.3,1.0,0.7,0.1,0.12,0.0,0.12,0.29,9.6,0.88,A
Yıldız,A,,0.26,0.15,0.41,0.16,0.19,0.35,0.8,0.74,68.63,4.31,4.53,8.36,1.63,0.26,,2.7,-1.0,0.11,0.04,0.07,0.29,9.6,0.88,A
Shomurodov,A,,0.33,0.33,0.66,0.39,0.11,0.49,0.41,0.29,40.63,1.56,1.72,5.09,0.85,0.33,,-0.7,2.7,0.08,0.0,0.08,0.31,10.4,0.86,A
Arnautović,A,,0.66,0.33,0.98,0.54,0.2,0.74,0.28,0.13,30.5,0.66,2.62,10.0,1.21,0.66,,0.7,0.8,0.16,0.0,0.16,0.33,11.1,0.84,A
Domínguez,A,,0.21,0.14,0.35,0.15,0.06,0.21,0.67,0.42,53.38,3.51,2.25,8.64,1.36,0.21,,0.8,1.2,0.0,0.0,0.0,0.33,11.1,0.84,A
Neres,A,Napoli,0.14,0.28,0.42,0.19,0.25,0.43,0.46,0.34,45.82,5.12,2.24,10.03,0.74,0.14,,-0.7,0.5,0.07,0.0,0.07,0.33,11.1,0.84,A
Raspadori,A,Napoli,0.49,0.08,0.57,0.33,0.2,0.52,0.42,0.29,42.42,1.47,3.43,4.65,1.5,0.49,,2.0,-1.4,0.08,0.0,0.08,0.36,11.9,0.82,A
Zaccagni,A,Lazio,0.27,0.2,0.47,0.21,0.15,0.37,0.97,0.87,79.0,3.05,3.82,8.85,0.94,0.2,1.0,1.6,1.4,0.34,0.0,0.34,0.36,11.9,0.82,A
Dybala,A,Roma,0.38,0.19,0.57,0.41,0.32,0.72,0.67,0.42,59.04,2.6,5.02,7.75,0.47,0.19,1.0,-0.4,-2.0,0.13,0.0,0.13,0.38,12.6,0.81,A
Strefezza,A,Como,0.21,0.14,0.34,0.13,0.13,0.26,0.86,0.84,70.78,2.75,3.64,6.53,1.62,0.21,,2.3,0.1,0.17,0.0,0.17,0.38,12.6,0.81,A
Elmas,A,,0.35,0.0,0.35,0.12,0.04,0.16,0.92,0.32,78.54,3.7,3.0,5.11,2.86,0.35,,2.6,-0.4,0.0,0.0,0.0,0.4,13.3,0.79,A
Mota,A,,0.21,0.09,0.3,0.22,0.08,0.3,0.77,0.63,67.87,2.27,2.01,5.95,0.98,0.21,,-0.1,0.2,0.13,0.0,0.13,0.4,13.3,0.79,A
Pedro,A,Lazio,0.82,0.08,0.9,0.43,0.14,0.57,0.2,0.16,36.73,3.92,6.21,7.27,1.51,0.65,1.0,4.7,-0.7,0.16,0.0,0.16,0.4,13.3,0.79,A
Adams,A,Torino,0.31,0.1,0.41,0.31,0.07,0.37,0.83,0.79,73.67,0.78,1.36,5.19,1.0,0.31,0.0,0.0,1.0,0.07,0.0,0.07,0.42,14.1,0.76,A
Douvikas,A,Como,0.31,0.31,0.62,0.39,0.17,0.56,0.46,0.16,44.62,1.24,0.93,5.59,0.8,0.31,,-0.5,0.9,0.16,0.0,0.16,0.42,14.1,0.76,A
Man,A,Parma,0.18,0.18,0.36,0.25,0.19,0.44,0.7,0.61,60.45,3.02,2.71,6.41,0.73,0.18,,-1.5,-0.2,0.0,0.0,0.0,0.42,14.1,0.76,A
Morata,A,Como,0.41,0.0,0.41,0.32,0.07,0.38,0.81,0.34,68.69,1.47,2.13,5.16,1.28,0.41,,1.1,-0.8,0.41,0.0,0.41,0.42,14.1,0.76,A
Cambiaghi,A,Bologna,0.15,0.44,0.58,0.12,0.28,0.39,0.22,0.11,34.44,6.53,3.63,9.15,1.25,0.15,,0.2,1.1,0.0,0.0,0.0,0.47,15.6,0.74,B
Dallinga,A,Bologna,0.23,0.16,0.39,0.34,0.05,0.38,0.35,0.29,37.23,0.7,1.33,6.55,0.7,0.23,,-1.3,1.4,0.08,0.0,0.08,0.47,15.6,0.74,B
Zapata,A,Torino,0.46,0.0,0.46,0.52,0.08,0.6,1.0,0.18,83.86,0.92,1.07,5.52,0.88,0.46,,-0.4,-0.5,0.15,0.0,0.15,0.47,15.6,0.74,B
Castro,A,Bologna,0.31,0.16,0.47,0.3,0.11,0.42,0.75,0.71,63.72,0.67,1.53,5.34,1.04,0.31,0.0,0.3,1.1,0.27,0.0,0.27,0.51,17.0,0.7,B
Correa,A,,0.25,0.25,0.49,0.26,0.25,0.5,0.32,0.16,38.47,2.71,5.17,5.54,0.95,0.25,,-0.1,0.0,0.37,0.0,0.37,0.51,17.0,0.7,B
Kean,A,Fiorentina,0.63,0.1,0.73,0.65,0.06,0.71,0.97,0.82,84.5,1.4,0.87,4.76,0.93,0.6,0.5,-0.4,1.1,0.2,0.0,0.2,0.51,17.0,0.7,B
Luvumbo,A,Cagliari,0.11,0.11,0.22,0.12,0.17,0.29,0.73,0.5,61.77,3.92,1.74,7.0,0.95,0.11,,-0.1,-1.1,0.11,0.0,0.11,0.51,17.0,0.7,B
Morente,A,,0.13,0.09,0.22,0.13,0.07,0.2,0.74,0.61,65.19,2.14,4.54,6.41,1.03,0.13,,0.1,0.4,0.22,0.0,0.22,0.51,17.0,0.7,B
Politano,A,Napoli,0.1,0.13,0.22,0.1,0.15,0.25,0.92,0.89,75.78,4.33,4.14,8.92,0.97,0.1,,-0.1,-0.8,0.1,0.0,0.1,0.51,17.0,0.7,B
Vlahović,A,,0.5,0.2,0.71,0.62,0.07,0.69,0.72,0.55,61.52,1.36,1.11,5.9,0.49,0.3,1.0,-2.3,2.7,0.15,0.0,0.15,0.51,17.0,0.7,B
Pellegrino,A,Parma,0.37,0.12,0.49,0.4,0.09,0.49,0.62,0.21,56.69,0.73,1.83,4.52,0.91,0.37,,-0.3,0.3,0.24,0.0,0.24,0.53,17.8,0.66,B
Venturino,A,Genoa,1.08,0.0,1.08,0.38,0.11,0.49,0.17,0.03,27.83,2.69,3.77,5.39,2.86,1.08,,1.3,-0.2,0.0,0.0,0.0,0.53,17.8,0.66,B
Viola,A,,0.21,0.07,0.28,0.16,0.13,0.29,0.67,0.47,46.93,1.49,3.27,4.97,1.36,0.21,,0.8,-0.9,0.14,0.0,0.14,0.53,17.8,0.66,B
