Giocatore,Ruolo,Squadra,Tier Gol/90,Tier Assist/90,Tier Gol+Assist/90,Tier xG/90,Tier xA/90,Tier xG+xA/90,Tier Occasioni create,Tier Passaggi chiave,Tier Pressioni,Tier Progressioni palla (Carry/90),Tier Progressioni palla (Pass/90),Tier Progressioni palla (Ricezione/90),Tier xG senza rigori,Tier Gol senza rigori/90,Tier Differenza Gol-xG,Tier Differenza Assist-xA,Tier Cartellini/90,Tier Espulsioni/90,Tier Ammonizioni/90
Estévez,C,,A,A,A,A,C,B,B,B,B,S,C,S,A,A,B,A,A,C,A
Oumar Conde,C,,A,A,A,S,S,S,A,A,S,B,C,C,,A,C,C,S,C,S
Pereiro,C,,A,A,A,S,S,S,S,S,S,S,C,C,,A,C,C,C,C,C
Ekong,C,,A,A,A,B,B,B,S,S,S,C,A,C,A,A,B,B,A,C,A
Żurkowski,C,,A,A,A,C,S,A,S,S,A,B,S,B,A,A,B,C,C,C,C
Onana,C,,A,A,A,S,A,S,A,A,A,S,B,A,,A,C,B,B,C,B
Haas,C,,A,A,A,S,A,S,A,A,A,A,A,S,,A,C,B,B,C,B
Kasa,C,,A,A,A,C,A,C,A,A,A,S,A,C,A,A,S,B,S,C,S
Adžić,C,,A,A,A,S,S,S,S,S,S,S,S,C,,A,C,C,C,C,C
El Azzouzi,C,Bologna,A,A,A,S,S,S,S,S,S,S,C,S,,A,C,C,C,C,C
Bacci,C,,A,A,A,S,S,S,S,S,S,S,A,S,,A,C,C,C,C,C
Lhassine Kone,C,,A,A,A,S,S,S,S,S,S,S,C,B,,A,C,C,S,C,S
Sansone,C,,A,A,A,C,S,C,S,S,S,S,S,C,A,A,B,C,S,C,S
Braunöder,C,,A,A,A,A,S,S,B,A,A,A,C,S,A,A,B,C,S,S,S
Valoti,C,Cremonese,A,A,A,S,S,S,S,S,S,S,S,S,,A,C,C,S,C,S
Orsolini,A,Bologna,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Thuram,A,Inter,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C
Kvaratskhelia,A,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C
Ndoye,A,Bologna,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,B
Kolo Muani,A,,C,B,C,C,C,C,C,C,C,B,B,C,C,C,C,A,C,C,C
Leão,A,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,C,B
Retegui,A,,C,C,C,C,C,C,C,C,C,A,B,C,C,C,C,C,C,C,C
Thauvin,A,Udinese,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C
Diao,A,Como,C,B,C,C,A,B,C,C,C,C,C,C,C,C,C,C,B,C,B
Lukaku,A,Napoli,C,C,C,C,C,C,C,C,C,B,A,C,B,C,C,C,C,C,C
Martínez,A,,C,C,C,C,C,C,C,C,C,B,C,C,C,C,A,S,C,C,C
Chukwueze,A,Milan,C,C,C,C,C,C,B,B,B,C,C,C,C,C,C,A,C,C,C
Dovbyk,A,Roma,C,B,C,C,B,C,C,C,C,A,S,C,B,C,C,B,C,C,C
